Name,ISIN,Symbol,Market,Currency,Turnover,MIC
RES,IT0005543613,RES,Euronext Growth Milan,EUR,2392.00,EXGM
RES GESTAE SOCIMI,ES0105550000,MLJDL,Euronext Access Paris,EUR,-,XMLI
RETAIL ESTATES,BE0003720340,RET,"Euronext Brussels, Amsterdam",EUR,702508.00,
RETI,IT0005418204,RETI,Euronext Growth Milan,EUR,7200.00,EXGM
REVO INSURANCE,IT0005513202,REVO,Euronext Milan,EUR,328152.86,MTAA
REWAY GROUP,IT0005528069,RWY,Euronext Growth Milan,EUR,60050.00,EXGM
REWORLD MEDIA,FR0010820274,ALREW,Euronext Growth Paris,EUR,51195076,ALXP
REXEL,FR0010451203,RXL,Euronext Paris,EUR,18016309.87,XPAR
RHEINMETALL,DE0007030009,4RHM,EuroTLX,EUR,1791.00,ETLX
RIBA MUNDO,ES0105724001,RMT,Euronext Growth Milan,EUR,37877.00,EXGM
RIBER,FR0000075954,ALRIB,Euronext Growth Paris,EUR,603080835,ALXP
RISANAMENTO,IT0001402269,RN,Euronext Milan,EUR,309184.6969,MTAA
RIVER TECH,MT0001710103,RIVER,Euronext Growth Oslo,NOK,47968.70,MERK
ROBERTET,FR0000039091,RBT,Euronext Paris,EUR,731166.00,XPAR
ROBERTET CDV 87,FR0000045619,CBR,Euronext Paris,EUR,96.00,XPAR
ROBERTET CI,FR0000045601,CBE,Euronext Paris,EUR,4147.20,XPAR
ROBINHOOD MARKETS,US7707001027,4HOOD,EuroTLX,EUR,11084.45,ETLX
ROCHE BOBOIS,FR0013344173,RBO,Euronext Paris,EUR,225870.40,XPAR
ROCKET SHARING C,IT0005481830,RKT,Euronext Growth Milan,EUR,6956.00,EXGM
ROCKWELL AUTO,US7739031091,4ROK,EuroTLX,EUR,529.40,ETLX
ROCTOOL,FR0010523167,ALROC,Euronext Growth Paris,EUR,723491,ALXP
RODAMCO,NL0000288652,-,Euronext Expert Market,EUR,14.80,VPXB
ROGALAND SPAREBANK,NO0006001007,ROGS,Oslo Børs,NOK,57106.76,XOSL
ROKU,US77543R1023,4ROKU,EuroTLX,EUR,303.95,ETLX
ROMERIKE SPAREBK,NO0010808405,ROMER,Euronext Growth Oslo,NOK,37938.68,MERK
ROMREAL,BMG763301022,ROM,Euronext Expand Oslo,NOK,28.08,XOAS
ROSETTI MARINO,IT0001017851,YRM,Euronext Growth Milan,EUR,9800.00,EXGM
ROTON,BE0003660710,-,Euronext Expert Market,EUR,488.48,VPXB
ROUGIER S.A.,FR0000037640,ALRGR,Euronext Growth Paris,EUR,3777.10,ALXP
ROULARTA,BE0003741551,ROU,Euronext Brussels,EUR,22717.45,XBRU
RSR SINGULAR,ES0105505004,MLRSR,Euronext Access Lisbon,EUR,-,XMLI
RUBIS,FR0013269123,RUI,Euronext Paris,EUR,2533799.83,XPAR
RWE,DE0007037129,4RWE,EuroTLX,EUR,3710.00,ETLX
RYANAIR HOLD. PLC,IE00BYTBXV33,RYA,Euronext Dublin,EUR,80963997285,XMSM
S.CLUBE BRAGA,PTSCB0AM0001,SCB,Euronext Access Lisbon,EUR,294.00,XMLI
S.D. STANDARD ETC,CY0101550917,SDSD,Oslo Børs,NOK,515.72,XOSL
S.E.B.,FR0000121709,SK,Euronext Paris,EUR,6620179.45,XPAR
S.S. LAZIO,IT0003621783,SSL,Euronext Milan,EUR,7127282,MTAA
SABAF,IT0001042610,SAB,Euronext Milan,EUR,26149.35,MTAA
SACCHERIA F. FRANC,IT0005521551,SAC,Euronext Growth Milan,EUR,6765.00,EXGM
SAFE,FR001400ZU25,ALSAF,Euronext Growth Paris,EUR,31086.28,ALXP
SAFILO GROUP,IT0004604762,SFL,Euronext Milan,EUR,2469894444,MTAA
SAFRAN,FR0000073272,SAF,Euronext Paris,EUR,146199401.40,XPAR
SAFRAN,FR0000073272,4SAF,EuroTLX,EUR,283.80,ETLX
SAGA PURE,NO0010572589,SAGA,Oslo Børs,NOK,147659.19,XOSL
SAGAX REAL ESTATE,ES0105651006,MLSAG,Euronext Access Paris,EUR,-,XMLI
SAINT GOBAIN,FR0000125007,SGO,"Euronext Paris, Amsterdam, Brussels",EUR,78688432.95,
SAINT JEAN GROUPE,FR0000060121,SABE,Euronext Paris,EUR,1423.50,XPAR
SAINT-GOBAIN,FR0000125007,4SGO,EuroTLX,EUR,201.20,ETLX
SAIPEM,IT0005495657,SPM,Euronext Milan,EUR,115445704088,MTAA
SALESFORCE,US79466L3024,4CRM,EuroTLX,EUR,6967.50,ETLX
SALMAR,NO0010310956,SALM,Oslo Børs,NOK,98795145.80,XOSL
SALMON EVOLUTION,NO0010892094,SALME,Oslo Børs,NOK,1758417.28,XOSL
SALV FERRAGAMO,IT0004712375,SFER,Euronext Milan,EUR,2481132.32,MTAA
SAMBA DIGITAL,PTDGL0AM0003,ALSMB,Euronext Growth Lisbon,EUR,64762.00,
SAMSE,FR0000060071,SAMS,Euronext Paris,EUR,26805.25,XPAR
SANLORENZO,IT0003549422,SL,Euronext Milan,EUR,912444.50,MTAA
SANOFI,FR0000120578,4SAN,EuroTLX,EUR,4135.00,ETLX
SANOFI,FR0000120578,SAN,Euronext Paris,EUR,139807852345,XPAR
SAP,DE0007164600,4SAP,EuroTLX,EUR,49107.65,ETLX
SAPMER,FR0010776617,ALMER,Euronext Growth Paris,EUR,265.20,ALXP
SARTORIUS,DE0007165607,4SRT,EuroTLX,EUR,178.00,ETLX
SARTORIUS PREF,DE0007165631,4SRT3,EuroTLX,EUR,197.40,ETLX
SARTORIUS STED BIO,FR0013154002,DIM,Euronext Paris,EUR,25141171675,XPAR
SARTORIUS STEDIM B,FR0013154002,4DIM,EuroTLX,EUR,197.15,ETLX
SATS,NO0010863285,SATS,Oslo Børs,NOK,4960559.45,XOSL
SAVENCIA,FR0000120107,SAVE,Euronext Paris,EUR,42015.40,XPAR
SAVONNERIE NYONS,FR0013155975,MLSDN,Euronext Access Paris,EUR,585.20,XMLI
SBE-VARVIT,IT0005568461,VARV,Euronext Growth Milan,EUR,1590.00,EXGM
SBM OFFSHORE,NL0000360618,SBMO,Euronext Amsterdam,EUR,5314107.27,XAMS
SCANA,NO0003053308,SCANA,Oslo Børs,NOK,771166068,XOSL
SCATEC,NO0010715139,SCATC,Oslo Børs,NOK,58820743.90,XOSL
SCBSM,FR0006239109,CBSM,Euronext Paris,EUR,2139.05,XPAR
SCEMI,FR0010972091,MLCMI,Euronext Access Paris,EUR,15.36,XMLI
SCHNEIDER ELECTRIC,FR0000121972,SU,Euronext Paris,EUR,180040593.35,XPAR
SCHNEIDER ELECTRIC,FR0000121972,4SU,EuroTLX,EUR,52057.50,ETLX
SCHREDER,BE0059682279,-,Euronext Expert Market,EUR,56010.00,VPXB
SCHREDER BE,BE0023885230,-,Euronext Expert Market,EUR,-,VPXB
SCIENTIA SCHOOL,ES0105592002,MLSCI,Euronext Access Paris,EUR,39.80,XMLI
SCIUKER FRAMES,IT0005340051,SCK,Euronext Growth Milan,EUR,24607.32,EXGM
SCOR,FR0010411983,4SCR,EuroTLX,EUR,260.10,ETLX
SCOR SE,FR0010411983,SCR,Euronext Paris,EUR,9236675.83,XPAR
SCR-SIBELCO,BE0944264663,-,Euronext Expert Market,EUR,196000.00,VPXB
Sea1 Offshore,KYG812291253,SEA1,Oslo Børs,NOK,3668664.85,XOSL
SEACREST PETROLEO,BMG7947V2045,SEAPT,Euronext Expand Oslo,NOK,493992902,XOAS
SEAGATE TECHNOLOGY,IE00BKVD2N49,4STX,EuroTLX,EUR,253.88,ETLX
SECHE ENVIRONNEM.,FR0000039109,SCHP,Euronext Paris,EUR,447009.40,XPAR
SECO,IT0005438046,IOT,Euronext Milan,EUR,119553605,MTAA
SED ENERGY HOLDING,CY0101162119,ENH,Oslo Børs,NOK,1505398.96,XOSL
SEGRO PLC,GB00B5ZN1N88,SGRO,Euronext Paris,EUR,30.90,XPAR
SEIF SPA,IT0005353484,ALSEI,Euronext Growth Paris,EUR,134.75,ALXP
SELCODIS,FR0000065492,SLCO,Euronext Paris,EUR,601.46,XPAR
SELECTIRENTE,FR0004175842,SELER,Euronext Paris,EUR,1059.50,XPAR
SELVAAG BOLIG,NO0010612450,SBO,Oslo Børs,NOK,892358.70,XOSL
SEMAPA,PTSEM0AM0004,SEM,Euronext Lisbon,EUR,395073.94,XLIS
SEMCO TECHNOLOGIES,FR0014010H01,ALSEM,Euronext Growth Paris,EUR,731716596,ALXP
SEMPLICEMENTE SpA,IT0005072811,MLSMP,Euronext Access Paris,EUR,81.00,XMLI
SENSORION,FR0012596468,ALSEN,Euronext Growth Paris,EUR,186070.14,ALXP
SENTIA,NO0013573014,SNTIA,Oslo Børs,NOK,7519380.30,XOSL
SEQUA PETROLEUM NV,NL0010623518,MLSEQ,Euronext Access Paris,EUR,52.3185,XMLI
SEQUANA MEDICAL,BE0974340722,SEQUA,Euronext Brussels,EUR,294052803,XBRU
SERGEFERRARI GROUP,FR0011950682,SEFER,Euronext Paris,EUR,6679.22,XPAR
SERI INDUSTRIAL,IT0005283640,SERI,Euronext Milan,EUR,149932.12,MTAA
SERVICENOW,US81762P1021,4NOW,EuroTLX,EUR,6168.00,ETLX
SES,LU0088087324,SESG,Euronext Paris,EUR,4246671605,XPAR
SESA,IT0004729759,SES,Euronext Milan,EUR,3554235.70,MTAA
SG COMPANY,IT0005337172,SGC,Euronext Growth Milan,EUR,1177.50,EXGM
SHELF DRILLING,KYG236271055,SHLF,Oslo Børs,NOK,4849268.75,XOSL
SHELF DRILLING NO,BMG236541170,SDNS,Euronext Growth Oslo,NOK,70084.30,MERK
SHELL PLC,GB00BP6MXD84,SHELL,Euronext Amsterdam,EUR,138470877555,XAMS
SHERWIN-WILLIAMS,US8243481061,4SHW,EuroTLX,EUR,354.90,ETLX
SHOWROOMPRIVE,FR0013006558,SRP,Euronext Paris,EUR,25507064,XPAR
SHURGARD,GG00BQZCBZ44,SHUR,Euronext Brussels,EUR,828619.90,XBRU
SIAV,IT0005504128,SIAV,Euronext Growth Milan,EUR,1050.00,EXGM
SICILY BY CAR,IT0005556581,SBC,Euronext Growth Milan,EUR,20304.12,EXGM
SIDETRADE,FR0010202606,ALBFR,Euronext Growth Paris,EUR,625198.00,ALXP
SIEMENS,DE0007236101,4SIE,EuroTLX,EUR,5525.00,ETLX
SIEMENS ENERGY,DE000ENER6Y0,4ENR,EuroTLX,EUR,277.38,ETLX
SIEMENS HEALTH,DE000SHL1006,4SHL,EuroTLX,EUR,3616.00,ETLX
SIF HOLDING,NL0011660485,SIFG,Euronext Amsterdam,EUR,548320.42,XAMS
SIGNAUX GIROD,FR0000060790,ALGIR,Euronext Growth Paris,EUR,2072.60,ALXP
SIGNIFY NV,NL0011821392,LIGHT,Euronext Amsterdam,EUR,12317389.88,XAMS
SILTRONIC,DE000WAF3001,4WAF,EuroTLX,EUR,1061.00,ETLX
SIMON PROPERTY GR,US8288061091,4SPG,EuroTLX,EUR,134.25,ETLX
SIMONE,IT0005573123,SMN,Euronext Growth Milan,EUR,3120.00,EXGM
SIPARIO MOVIES,IT0005380602,ALIE,Euronext Growth Paris,EUR,279.00,ALXP
SIPEF,BE0003898187,SIP,Euronext Brussels,EUR,89866.00,XBRU
SIRIUS MEDIA,FR0010812230,ALSRS,Euronext Growth Paris,EUR,99902.6704,ALXP
SIT,IT0005262149,SIT,Euronext Milan,EUR,9520.72,MTAA
SIXT,DE0007231326,4SIX,EuroTLX,EUR,1033.50,ETLX
SKANDIA GREENPOWER,NO0010931207,SKAND,Euronext Growth Oslo,NOK,38474.72,MERK
SKANDINAVISKA ENSK,SE0000148884,4SEBA,EuroTLX,EUR,21193.30,ETLX
SKUE SPAREBANK,NO0006001809,SKUE,Oslo Børs,NOK,199257.85,XOSL
SKYWORKS SOLUTIONS,US83088M1027,4SWKS,EuroTLX,EUR,954.90,ETLX
SLIGRO FOOD GROUP,NL0000817179,SLIGR,Euronext Amsterdam,EUR,1213153.07,XAMS
SMA SOLAR TECHNOL,DE000A0DJ6J9,4S,EuroTLX,EUR,898.80,ETLX
SMAIO,FR0014005I80,ALSMA,Euronext Growth Paris,EUR,63341.40,ALXP
SMALTO,FR0011131788,MLSML,Euronext Access Paris,EUR,2025,XMLI
SMALTO BSA,FR0010649228,SMLBS,Euronext Access Paris,EUR,4611.92,XMLI
SMART CAPITAL,IT0005621070,SMCAP,Euronext Growth Milan,EUR,10323.20,EXGM
SMART GOOD THINGS,FR001400LBS6,MLSGT,Euronext Access Paris,EUR,140.00,XMLI
SMARTCRAFT,NO0011008971,SMCRT,Oslo Børs,NOK,336310.50,XOSL
SMARTOPTICS GROUP,NO0011012502,SMOP,Euronext Growth Oslo,NOK,1554988.45,MERK
SMCP,FR0013214145,SMCP,Euronext Paris,EUR,330505.1725,XPAR
SMTPC,FR0004016699,ALTPC,Euronext Growth Paris,EUR,106354.70,ALXP
SNAM,IT0003153415,SRG,Euronext Milan,EUR,29660043.49,MTAA
SNAP - CLASSE A,US83304A1060,4SNAP,EuroTLX,EUR,2022.24,ETLX
